station_label,sv_label,epoch_utc,range_l1_m,range_l2_m,elevation_deg
RX-1,SV-K,2026-05-14T02:58:00Z,21164564.374,21164568.103,54.542
RX-1,SV-K,2026-05-14T02:59:00Z,21174249.679,21174253.209,54.355
RX-1,SV-K,2026-05-14T03:00:00Z,21183984.562,21183987.978,54.169
RX-1,SV-K,2026-05-14T03:01:00Z,21193768.345,21193772.187,53.982
RX-1,SV-K,2026-05-14T03:02:00Z,21203602.205,21203605.674,53.796
RX-1,SV-K,2026-05-14T03:03:00Z,21213484.799,21213488.555,53.609
RX-1,SV-K,2026-05-14T03:04:00Z,21223416.811,21223420.631,53.422
RX-1,SV-K,2026-05-14T03:05:00Z,21233398.391,21233402.184,53.236
RX-1,SV-K,2026-05-14T03:06:00Z,21243428.919,21243432.897,53.049
RX-1,SV-K,2026-05-14T03:07:00Z,21253508.872,21253513.034,52.863
RX-1,SV-K,2026-05-14T03:08:00Z,21263637.962,21263641.734,52.676
RX-1,SV-K,2026-05-14T03:09:00Z,21273816.361,21273819.936,52.490
RX-1,SV-K,2026-05-14T03:10:00Z,21284043.667,21284047.383,52.303
RX-1,SV-K,2026-05-14T03:11:00Z,21294320.059,21294323.904,52.117
RX-1,SV-K,2026-05-14T03:12:00Z,21304645.822,21304649.239,51.930
RX-1,SV-K,2026-05-14T03:13:00Z,21315020.264,21315023.768,51.743
RX-1,SV-K,2026-05-14T03:14:00Z,21325443.693,21325447.431,51.557
RX-1,SV-K,2026-05-14T03:15:00Z,21335916.255,21335920.012,51.370
RX-1,SV-K,2026-05-14T03:16:00Z,21346437.534,21346441.165,51.184
RX-1,SV-K,2026-05-14T03:17:00Z,21357007.878,21357011.580,50.997
RX-1,SV-K,2026-05-14T03:18:00Z,21367627.142,21367630.893,50.811
RX-1,SV-K,2026-05-14T03:19:00Z,21378294.860,21378298.841,50.624
RX-1,SV-K,2026-05-14T03:20:00Z,21389011.387,21389015.526,50.438
RX-1,SV-K,2026-05-14T03:21:00Z,21399777.243,21399781.418,50.251
RX-1,SV-K,2026-05-14T03:22:00Z,21410591.488,21410595.303,50.064
RX-1,SV-K,2026-05-14T03:23:00Z,21421454.071,21421458.264,49.878
RX-1,SV-K,2026-05-14T03:24:00Z,21432365.835,21432369.569,49.691
RX-1,SV-K,2026-05-14T03:25:00Z,21443325.930,21443329.927,49.505
RX-1,SV-K,2026-05-14T03:26:00Z,21454334.809,21454338.528,49.318
RX-1,SV-K,2026-05-14T03:27:00Z,21465391.783,21465395.784,49.132
RX-1,SV-K,2026-05-14T03:28:00Z,21476497.657,21476501.624,48.945
RX-1,SV-K,2026-05-14T03:29:00Z,21487651.871,21487655.676,48.759
RX-1,SV-K,2026-05-14T03:30:00Z,21498854.337,21498858.252,48.572
RX-1,SV-K,2026-05-14T03:31:00Z,21510105.259,21510109.041,48.385
RX-1,SV-K,2026-05-14T03:32:00Z,21521404.409,21521408.497,48.199
RX-1,SV-K,2026-05-14T03:33:00Z,21532751.969,21532755.648,48.012
RX-1,SV-K,2026-05-14T03:34:00Z,21544147.733,21544151.649,47.826
RX-1,SV-K,2026-05-14T03:35:00Z,21555591.561,21555595.500,47.639
RX-1,SV-K,2026-05-14T03:36:00Z,21567083.949,21567087.796,47.453
RX-1,SV-K,2026-05-14T03:37:00Z,21578624.065,21578628.138,47.266
RX-1,SV-K,2026-05-14T03:38:00Z,21590212.381,21590216.482,47.080
RX-1,SV-K,2026-05-14T03:39:00Z,21601848.710,21601852.652,46.893
RX-1,SV-K,2026-05-14T03:40:00Z,21613533.073,21613537.306,46.706
RX-1,SV-K,2026-05-14T03:41:00Z,21625265.418,21625269.327,46.520
RX-1,SV-K,2026-05-14T03:42:00Z,21637045.596,21637049.542,46.333
RX-1,SV-K,2026-05-14T03:43:00Z,21648873.456,21648877.483,46.147
RX-1,SV-K,2026-05-14T03:44:00Z,21660749.501,21660753.572,45.960
RX-1,SV-K,2026-05-14T03:45:00Z,21672672.834,21672677.020,45.774
RX-1,SV-K,2026-05-14T03:46:00Z,21684644.444,21684648.335,45.587
RX-1,SV-K,2026-05-14T03:47:00Z,21696663.447,21696667.468,45.401
RX-1,SV-K,2026-05-14T03:48:00Z,21708729.662,21708734.185,45.214
RX-1,SV-K,2026-05-14T03:49:00Z,21720844.009,21720848.141,45.027
RX-1,SV-K,2026-05-14T03:50:00Z,21733005.725,21733009.910,44.841
RX-1,SV-K,2026-05-14T03:51:00Z,21745215.197,21745219.262,44.654
RX-1,SV-K,2026-05-14T03:52:00Z,21757471.647,21757475.812,44.468
RX-1,SV-K,2026-05-14T03:53:00Z,21769775.425,21769779.844,44.281
RX-1,SV-K,2026-05-14T03:54:00Z,21782126.727,21782131.068,44.095
RX-1,SV-K,2026-05-14T03:55:00Z,21794525.572,21794529.868,43.908
RX-1,SV-K,2026-05-14T03:56:00Z,21806971.114,21806975.491,43.722
RX-1,SV-K,2026-05-14T03:57:00Z,21819464.178,21819468.574,43.535
RX-1,SV-K,2026-05-14T03:58:00Z,21832004.384,21832008.646,43.348
RX-1,SV-K,2026-05-14T03:59:00Z,21844591.347,21844596.009,43.162
RX-1,SV-K,2026-05-14T04:00:00Z,21857225.599,21857230.130,42.975
RX-1,SV-P,2026-05-14T02:00:00Z,20432245.908,20432248.736,73.905
RX-1,SV-P,2026-05-14T02:01:00Z,20436850.093,20436852.980,73.712
RX-1,SV-P,2026-05-14T02:02:00Z,20441508.612,20441511.683,73.519
RX-1,SV-P,2026-05-14T02:03:00Z,20446222.062,20446225.046,73.326
RX-1,SV-P,2026-05-14T02:04:00Z,20450990.464,20450993.107,73.133
RX-1,SV-P,2026-05-14T02:05:00Z,20455813.143,20455816.075,72.940
RX-1,SV-P,2026-05-14T02:06:00Z,20460690.677,20460693.558,72.746
RX-1,SV-P,2026-05-14T02:07:00Z,20465622.830,20465625.632,72.553
RX-1,SV-P,2026-05-14T02:08:00Z,20470609.259,20470612.414,72.360
RX-1,SV-P,2026-05-14T02:09:00Z,20475650.720,20475653.621,72.167
RX-1,SV-P,2026-05-14T02:10:00Z,20480746.755,20480749.889,71.974
RX-1,SV-P,2026-05-14T02:11:00Z,20485897.443,20485900.465,71.781
RX-1,SV-P,2026-05-14T02:12:00Z,20491102.821,20491105.570,71.588
RX-1,SV-P,2026-05-14T02:13:00Z,20496362.393,20496365.717,71.395
RX-1,SV-P,2026-05-14T02:14:00Z,20501677.301,20501679.979,71.202
RX-1,SV-P,2026-05-14T02:15:00Z,20507046.237,20507048.839,71.009
RX-1,SV-P,2026-05-14T02:16:00Z,20512469.815,20512472.770,70.816
RX-1,SV-P,2026-05-14T02:17:00Z,20517947.954,20517950.846,70.623
RX-1,SV-P,2026-05-14T02:18:00Z,20523480.442,20523483.651,70.430
RX-1,SV-P,2026-05-14T02:19:00Z,20529067.902,20529070.810,70.237
RX-1,SV-P,2026-05-14T02:20:00Z,20534709.759,20534712.674,70.044
RX-1,SV-P,2026-05-14T02:21:00Z,20540406.036,20540409.075,69.851
RX-1,SV-P,2026-05-14T02:22:00Z,20546156.897,20546159.976,69.658
RX-1,SV-P,2026-05-14T02:23:00Z,20551962.164,20551965.179,69.465
RX-1,SV-P,2026-05-14T02:24:00Z,20557822.145,20557825.046,69.272
RX-1,SV-P,2026-05-14T02:25:00Z,20563736.346,20563739.301,69.079
RX-1,SV-P,2026-05-14T02:26:00Z,20569705.004,20569708.185,68.886
RX-1,SV-P,2026-05-14T02:27:00Z,20575728.353,20575731.391,68.693
RX-1,SV-P,2026-05-14T02:28:00Z,20581806.030,20581809.243,68.500
RX-1,SV-P,2026-05-14T02:29:00Z,20587938.422,20587941.202,68.307
RX-1,SV-P,2026-05-14T02:30:00Z,20594124.893,20594127.812,68.114
RX-1,SV-P,2026-05-14T02:31:00Z,20600365.718,20600368.594,67.921
RX-1,SV-P,2026-05-14T02:32:00Z,20606660.926,20606664.052,67.728
RX-1,SV-P,2026-05-14T02:33:00Z,20613010.883,20613013.649,67.535
RX-1,SV-P,2026-05-14T02:34:00Z,20619414.835,20619417.915,67.342
RX-1,SV-P,2026-05-14T02:35:00Z,20625873.512,20625876.367,67.149
RX-1,SV-P,2026-05-14T02:36:00Z,20632386.478,20632389.264,66.956
RX-1,SV-P,2026-05-14T02:37:00Z,20638953.299,20638956.451,66.763
RX-1,SV-P,2026-05-14T02:38:00Z,20645574.926,20645578.132,66.570
RX-1,SV-P,2026-05-14T02:39:00Z,20652250.739,20652253.822,66.376
RX-1,SV-P,2026-05-14T02:40:00Z,20658980.842,20658983.591,66.183
RX-1,SV-P,2026-05-14T02:41:00Z,20665765.120,20665768.208,65.990
RX-1,SV-P,2026-05-14T02:42:00Z,20672603.731,20672606.633,65.797
RX-1,SV-P,2026-05-14T02:43:00Z,20679496.342,20679499.667,65.604
RX-1,SV-P,2026-05-14T02:44:00Z,20686443.623,20686446.786,65.411
RX-1,SV-P,2026-05-14T02:45:00Z,20693445.057,20693448.087,65.218
RX-1,SV-P,2026-05-14T02:46:00Z,20700500.277,20700503.645,65.025
RX-1,SV-P,2026-05-14T02:47:00Z,20707610.117,20707613.232,64.832
RX-1,SV-P,2026-05-14T02:48:00Z,20714774.054,20714777.343,64.639
RX-1,SV-P,2026-05-14T02:49:00Z,20721991.931,20721995.101,64.446
RX-1,SV-P,2026-05-14T02:50:00Z,20729264.251,20729267.473,64.253
RX-1,SV-P,2026-05-14T02:51:00Z,20736590.328,20736593.639,64.060
RX-1,SV-P,2026-05-14T02:52:00Z,20743971.049,20743973.843,63.867
RX-1,SV-P,2026-05-14T02:53:00Z,20751405.372,20751408.559,63.674
RX-1,SV-P,2026-05-14T02:54:00Z,20758894.025,20758897.220,63.481
RX-1,SV-P,2026-05-14T02:55:00Z,20766436.525,20766439.706,63.288
RX-1,SV-P,2026-05-14T02:56:00Z,20774033.460,20774036.480,63.095
RX-1,SV-P,2026-05-14T02:57:00Z,20781684.023,20781687.373,62.902
RX-1,SV-P,2026-05-14T02:58:00Z,20789388.649,20789392.010,62.709
RX-1,SV-P,2026-05-14T02:59:00Z,20797147.478,20797150.538,62.516
RX-1,SV-P,2026-05-14T03:00:00Z,20804960.203,20804963.211,62.323
RX-1,SV-P,2026-05-14T03:01:00Z,20812826.880,20812829.699,62.130
RX-1,SV-P,2026-05-14T03:02:00Z,20820746.979,20820750.600,61.937
RX-1,SV-P,2026-05-14T03:03:00Z,20828721.592,20828724.729,61.744
RX-1,SV-P,2026-05-14T03:04:00Z,20836749.983,20836753.391,61.551
RX-1,SV-P,2026-05-14T03:05:00Z,20844832.163,20844835.360,61.358
RX-1,SV-P,2026-05-14T03:06:00Z,20852968.256,20852971.504,61.165
RX-1,SV-P,2026-05-14T03:07:00Z,20861158.058,20861161.167,60.972
RX-1,SV-P,2026-05-14T03:08:00Z,20869401.676,20869404.815,60.779
RX-1,SV-P,2026-05-14T03:09:00Z,20877699.260,20877702.455,60.586
RX-1,SV-P,2026-05-14T03:10:00Z,20886050.762,20886053.678,60.393
RX-1,SV-P,2026-05-14T03:11:00Z,20894455.658,20894458.821,60.199
RX-1,SV-P,2026-05-14T03:12:00Z,20902914.443,20902917.718,60.006
RX-1,SV-P,2026-05-14T03:13:00Z,20911426.609,20911429.819,59.813
RX-1,SV-P,2026-05-14T03:14:00Z,20919992.821,20919995.885,59.620
RX-1,SV-P,2026-05-14T03:15:00Z,20928612.687,20928615.887,59.427
RX-1,SV-P,2026-05-14T03:16:00Z,20937285.831,20937289.177,59.234
RX-1,SV-P,2026-05-14T03:17:00Z,20946012.773,20946016.064,59.041
RX-1,SV-P,2026-05-14T03:18:00Z,20954793.501,20954796.915,58.848
RX-1,SV-P,2026-05-14T03:19:00Z,20963627.555,20963630.895,58.655
RX-1,SV-P,2026-05-14T03:20:00Z,20972515.362,20972518.982,58.462
RX-1,SV-P,2026-05-14T03:21:00Z,20981456.623,20981460.000,58.269
RX-1,SV-P,2026-05-14T03:22:00Z,20990451.222,20990454.382,58.076
RX-1,SV-P,2026-05-14T03:23:00Z,20999499.277,20999502.795,57.883
RX-1,SV-P,2026-05-14T03:24:00Z,21008601.021,21008604.270,57.690
RX-1,SV-P,2026-05-14T03:25:00Z,21017756.147,21017759.362,57.497
RX-1,SV-P,2026-05-14T03:26:00Z,21026964.264,21026967.588,57.304
RX-1,SV-P,2026-05-14T03:27:00Z,21036226.198,21036229.661,57.111
RX-1,SV-P,2026-05-14T03:28:00Z,21045541.316,21045544.839,56.918
RX-1,SV-P,2026-05-14T03:29:00Z,21054910.020,21054913.310,56.725
RX-1,SV-P,2026-05-14T03:30:00Z,21064331.515,21064334.817,56.532
RX-1,SV-P,2026-05-14T03:31:00Z,21073806.437,21073810.043,56.339
RX-1,SV-P,2026-05-14T03:32:00Z,21083334.524,21083338.166,56.146
RX-1,SV-P,2026-05-14T03:33:00Z,21092916.007,21092919.446,55.953
RX-1,SV-P,2026-05-14T03:34:00Z,21102550.753,21102554.126,55.760
RX-1,SV-P,2026-05-14T03:35:00Z,21112238.587,21112241.611,55.567
RX-1,SV-P,2026-05-14T03:36:00Z,21121978.975,21121982.394,55.374
RX-1,SV-P,2026-05-14T03:37:00Z,21131772.899,21131776.420,55.181
RX-1,SV-P,2026-05-14T03:38:00Z,21141619.827,21141623.351,54.988
RX-1,SV-P,2026-05-14T03:39:00Z,21151520.011,21151523.191,54.795
RX-1,SV-P,2026-05-14T03:40:00Z,21161472.769,21161476.281,54.602
RX-1,SV-P,2026-05-14T03:41:00Z,21171478.478,21171482.146,54.409
RX-1,SV-P,2026-05-14T03:42:00Z,21181537.489,21181541.031,54.216
RX-1,SV-P,2026-05-14T03:43:00Z,21191649.163,21191652.829,54.022
RX-1,SV-P,2026-05-14T03:44:00Z,21201813.491,21201817.323,53.829
RX-1,SV-P,2026-05-14T03:45:00Z,21212031.052,21212034.760,53.636
RX-1,SV-P,2026-05-14T03:46:00Z,21222301.157,21222305.061,53.443
RX-1,SV-P,2026-05-14T03:47:00Z,21232624.377,21232628.154,53.250
RX-1,SV-P,2026-05-14T03:48:00Z,21242999.917,21243003.762,53.057
RX-1,SV-P,2026-05-14T03:49:00Z,21253428.473,21253431.865,52.864
RX-1,SV-P,2026-05-14T03:50:00Z,21263909.642,21263913.144,52.671
RX-1,SV-P,2026-05-14T03:51:00Z,21274443.104,21274446.761,52.478
RX-1,SV-P,2026-05-14T03:52:00Z,21285029.283,21285033.047,52.285
RX-1,SV-P,2026-05-14T03:53:00Z,21295668.148,21295671.940,52.092
RX-1,SV-P,2026-05-14T03:54:00Z,21306359.686,21306363.273,51.899
RX-1,SV-P,2026-05-14T03:55:00Z,21317103.251,21317107.220,51.706
RX-1,SV-P,2026-05-14T03:56:00Z,21327899.797,21327903.418,51.513
RX-1,SV-P,2026-05-14T03:57:00Z,21338748.399,21338752.264,51.320
RX-1,SV-P,2026-05-14T03:58:00Z,21349649.302,21349653.233,51.127
RX-1,SV-P,2026-05-14T03:59:00Z,21360602.799,21360606.614,50.934
RX-1,SV-P,2026-05-14T04:00:00Z,21371608.391,21371612.229,50.741
RX-1,SV-R,2026-05-14T02:00:00Z,21588001.773,21588002.135,47.115
RX-1,SV-R,2026-05-14T02:01:00Z,21574837.413,21574838.036,47.327
RX-1,SV-R,2026-05-14T02:02:00Z,21561735.516,21561735.749,47.539
RX-1,SV-R,2026-05-14T02:03:00Z,21548695.487,21548696.032,47.752
RX-1,SV-R,2026-05-14T02:04:00Z,21535717.959,21535718.573,47.964
RX-1,SV-R,2026-05-14T02:05:00Z,21522802.581,21522803.223,48.176
RX-1,SV-R,2026-05-14T02:06:00Z,21509949.966,21509950.423,48.388
RX-1,SV-R,2026-05-14T02:07:00Z,21497159.624,21497160.317,48.600
RX-1,SV-R,2026-05-14T02:08:00Z,21484432.099,21484432.422,48.812
RX-1,SV-R,2026-05-14T02:09:00Z,21471766.879,21471767.499,49.024
RX-1,SV-R,2026-05-14T02:10:00Z,21459164.335,21459164.919,49.237
RX-1,SV-R,2026-05-14T02:11:00Z,21446624.986,21446625.575,49.449
RX-1,SV-R,2026-05-14T02:12:00Z,21434148.019,21434148.663,49.661
RX-1,SV-R,2026-05-14T02:13:00Z,21421733.994,21421734.397,49.873
RX-1,SV-R,2026-05-14T02:14:00Z,21409382.875,21409383.545,50.085
RX-1,SV-R,2026-05-14T02:15:00Z,21397094.634,21397095.389,50.297
RX-1,SV-R,2026-05-14T02:16:00Z,21384869.104,21384869.907,50.510
RX-1,SV-R,2026-05-14T02:17:00Z,21372707.429,21372708.098,50.722
RX-1,SV-R,2026-05-14T02:18:00Z,21360608.441,21360609.241,50.934
RX-1,SV-R,2026-05-14T02:19:00Z,21348572.706,21348573.065,51.146
RX-1,SV-R,2026-05-14T02:20:00Z,21336599.867,21336600.471,51.358
RX-1,SV-R,2026-05-14T02:21:00Z,21324690.875,21324691.383,51.570
RX-1,SV-R,2026-05-14T02:22:00Z,21312844.631,21312845.166,51.782
RX-1,SV-R,2026-05-14T02:23:00Z,21301062.060,21301062.461,51.995
RX-1,SV-R,2026-05-14T02:24:00Z,21289342.752,21289343.235,52.207
RX-1,SV-R,2026-05-14T02:25:00Z,21277687.140,21277687.463,52.419
RX-1,SV-R,2026-05-14T02:26:00Z,21266094.613,21266095.295,52.631
RX-1,SV-R,2026-05-14T02:27:00Z,21254565.898,21254566.641,52.843
RX-1,SV-R,2026-05-14T02:28:00Z,21243100.990,21243101.478,53.055
RX-1,SV-R,2026-05-14T02:29:00Z,21231699.671,21231700.105,53.268
RX-1,SV-R,2026-05-14T02:30:00Z,21220361.484,21220362.362,53.480
RX-1,SV-R,2026-05-14T02:31:00Z,21209087.863,21209088.255,53.692
RX-1,SV-R,2026-05-14T02:32:00Z,21197877.845,21197878.170,53.904
RX-1,SV-R,2026-05-14T02:33:00Z,21186731.113,21186731.882,54.116
RX-1,SV-R,2026-05-14T02:34:00Z,21175648.883,21175649.208,54.328
RX-1,SV-R,2026-05-14T02:35:00Z,21164630.234,21164630.620,54.541
RX-1,SV-R,2026-05-14T02:36:00Z,21153675.637,21153676.133,54.753
RX-1,SV-R,2026-05-14T02:37:00Z,21142785.040,21142785.397,54.965
RX-1,SV-R,2026-05-14T02:38:00Z,21131958.540,21131958.937,55.177
RX-1,SV-R,2026-05-14T02:39:00Z,21121195.786,21121196.344,55.389
RX-1,SV-R,2026-05-14T02:40:00Z,21110497.519,21110497.826,55.601
RX-1,SV-R,2026-05-14T02:41:00Z,21099863.454,21099864.012,55.813
RX-1,SV-R,2026-05-14T02:42:00Z,21089293.513,21089293.936,56.026
RX-1,SV-R,2026-05-14T02:43:00Z,21078787.687,21078787.987,56.238
RX-1,SV-R,2026-05-14T02:44:00Z,21068346.374,21068346.486,56.450
RX-1,SV-R,2026-05-14T02:45:00Z,21057969.008,21057969.479,56.662
RX-1,SV-R,2026-05-14T02:46:00Z,21047656.078,21047656.693,56.874
RX-1,SV-R,2026-05-14T02:47:00Z,21037407.667,21037408.089,57.086
RX-1,SV-R,2026-05-14T02:48:00Z,21027223.825,21027224.144,57.299
RX-1,SV-R,2026-05-14T02:49:00Z,21017104.063,21017104.597,57.511
RX-1,SV-R,2026-05-14T02:50:00Z,21007049.223,21007049.622,57.723
RX-1,SV-R,2026-05-14T02:51:00Z,20997058.816,20997058.900,57.935
RX-1,SV-R,2026-05-14T02:52:00Z,20987132.640,20987133.175,58.147
RX-1,SV-R,2026-05-14T02:53:00Z,20977271.650,20977271.775,58.359
RX-1,SV-R,2026-05-14T02:54:00Z,20967474.567,20967475.101,58.572
RX-1,SV-R,2026-05-14T02:55:00Z,20957742.654,20957742.997,58.784
RX-1,SV-R,2026-05-14T02:56:00Z,20948075.336,20948075.439,58.996
RX-1,SV-R,2026-05-14T02:57:00Z,20938472.654,20938473.203,59.208
RX-1,SV-R,2026-05-14T02:58:00Z,20928934.784,20928935.222,59.420
RX-1,SV-R,2026-05-14T02:59:00Z,20919461.701,20919461.965,59.632
RX-1,SV-R,2026-05-14T03:00:00Z,20910053.454,20910053.865,59.844
RX-1,SV-R,2026-05-14T03:01:00Z,20900709.793,20900710.571,60.057
RX-1,SV-R,2026-05-14T03:02:00Z,20891431.406,20891431.903,60.269
RX-1,SV-R,2026-05-14T03:03:00Z,20882217.929,20882217.949,60.481
RX-1,SV-R,2026-05-14T03:04:00Z,20873069.072,20873069.343,60.693
RX-1,SV-R,2026-05-14T03:05:00Z,20863985.193,20863985.754,60.905
RX-1,SV-R,2026-05-14T03:06:00Z,20854966.732,20854966.894,61.117
RX-1,SV-R,2026-05-14T03:07:00Z,20846012.981,20846013.333,61.330
RX-1,SV-R,2026-05-14T03:08:00Z,20837123.927,20837124.489,61.542
RX-1,SV-R,2026-05-14T03:09:00Z,20828300.639,20828300.845,61.754
RX-1,SV-R,2026-05-14T03:10:00Z,20819542.149,20819542.675,61.966
RX-1,SV-R,2026-05-14T03:11:00Z,20810848.726,20810849.072,62.178
RX-1,SV-R,2026-05-14T03:12:00Z,20802220.521,20802220.746,62.390
RX-1,SV-R,2026-05-14T03:13:00Z,20793657.452,20793657.807,62.602
RX-1,SV-R,2026-05-14T03:14:00Z,20785159.485,20785160.081,62.815
RX-1,SV-R,2026-05-14T03:15:00Z,20776727.004,20776727.321,63.027
RX-1,SV-R,2026-05-14T03:16:00Z,20768359.760,20768360.146,63.239
RX-1,SV-R,2026-05-14T03:17:00Z,20760057.249,20760058.039,63.451
RX-1,SV-R,2026-05-14T03:18:00Z,20751820.714,20751821.111,63.663
RX-1,SV-R,2026-05-14T03:19:00Z,20743649.334,20743649.819,63.875
RX-1,SV-R,2026-05-14T03:20:00Z,20735543.384,20735543.463,64.088
RX-1,SV-R,2026-05-14T03:21:00Z,20727502.215,20727502.423,64.300
RX-1,SV-R,2026-05-14T03:22:00Z,20719526.980,20719527.171,64.512
RX-1,SV-R,2026-05-14T03:23:00Z,20711617.012,20711617.440,64.724
RX-1,SV-R,2026-05-14T03:24:00Z,20703772.340,20703772.581,64.936
RX-1,SV-R,2026-05-14T03:25:00Z,20695993.086,20695993.706,65.148
RX-1,SV-R,2026-05-14T03:26:00Z,20688279.508,20688279.896,65.361
RX-1,SV-R,2026-05-14T03:27:00Z,20680631.189,20680632.018,65.573
RX-1,SV-R,2026-05-14T03:28:00Z,20673048.816,20673049.182,65.785
RX-1,SV-R,2026-05-14T03:29:00Z,20665531.986,20665532.036,65.997
RX-1,SV-R,2026-05-14T03:30:00Z,20658080.081,20658080.494,66.209
RX-1,SV-R,2026-05-14T03:31:00Z,20650694.237,20650694.569,66.421
RX-1,SV-R,2026-05-14T03:32:00Z,20643373.823,20643373.954,66.633
RX-1,SV-R,2026-05-14T03:33:00Z,20636118.976,20636119.563,66.846
RX-1,SV-R,2026-05-14T03:34:00Z,20628929.830,20628930.064,67.058
RX-1,SV-R,2026-05-14T03:35:00Z,20621806.360,20621806.522,67.270
RX-1,SV-R,2026-05-14T03:36:00Z,20614748.275,20614748.843,67.482
